,id,date,tests,confirmed,recovered,deaths,hosp,vent,icu,population,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,testing_policy,contact_tracing,stringency_index,iso_alpha_3,iso_alpha_2,iso_numeric,currency,administrative_area_level,administrative_area_level_1,administrative_area_level_2,administrative_area_level_3,latitude,longitude,key,key_google_mobility,key_apple_mobility,key_numeric,key_alpha_2
14114,121cd66e,2020-04-01,22853.0,973.0,,17.0,54.0,,27.0,5639632.0,3.0,3.0,2.0,4.0,0.0,2.0,2.0,3.0,2.0,1.0,1.0,82.41,USA,US,840.0,USN,2,United States,Minnesota,,44.528372238427,-92.3089091386517,,Minnesota,Minnesota,,MN
14115,121cd66e,2020-04-02,24836.0,1056.0,,18.0,75.0,,38.0,5639632.0,3.0,3.0,2.0,4.0,0.0,2.0,2.0,3.0,2.0,1.0,1.0,82.41,USA,US,840.0,USN,2,United States,Minnesota,,44.528372238427,-92.3089091386517,,Minnesota,Minnesota,,MN
14116,121cd66e,2020-04-03,26182.0,1119.0,,22.0,86.0,,40.0,5639632.0,3.0,3.0,2.0,4.0,0.0,2.0,2.0,3.0,2.0,1.0,1.0,82.41,USA,US,840.0,USN,2,United States,Minnesota,,44.528372238427,-92.3089091386517,,Minnesota,Minnesota,,MN
14117,121cd66e,2020-04-04,27845.0,1158.0,416.0,24.0,95.0,,42.0,5639632.0,3.0,3.0,2.0,4.0,0.0,2.0,2.0,3.0,2.0,1.0,1.0,82.41,USA,US,840.0,USN,2,United States,Minnesota,,44.528372238427,-92.3089091386517,,Minnesota,Minnesota,,MN
14118,121cd66e,2020-04-05,29307.0,1217.0,422.0,29.0,106.0,,48.0,5639632.0,3.0,3.0,2.0,4.0,0.0,2.0,2.0,3.0,2.0,1.0,1.0,82.41,USA,US,840.0,USN,2,United States,Minnesota,,44.528372238427,-92.3089091386517,,Minnesota,Minnesota,,MN
14119,121cd66e,2020-04-06,30485.0,1330.0,440.0,30.0,115.0,,57.0,5639632.0,3.0,3.0,2.0,4.0,0.0,2.0,2.0,3.0,2.0,1.0,1.0,82.41,USA,US,840.0,USN,2,United States,Minnesota,,44.528372238427,-92.3089091386517,,Minnesota,Minnesota,,MN
14120,121cd66e,2020-04-07,32035.0,1432.0,515.0,34.0,120.0,,64.0,5639632.0,3.0,3.0,2.0,4.0,0.0,2.0,2.0,3.0,2.0,1.0,1.0,82.41,USA,US,840.0,USN,2,United States,Minnesota,,44.528372238427,-92.3089091386517,,Minnesota,Minnesota,,MN
14121,121cd66e,2020-04-08,33488.0,1534.0,593.0,39.0,135.0,,64.0,5639632.0,3.0,3.0,2.0,4.0,0.0,2.0,1.0,3.0,2.0,1.0,1.0,76.85,USA,US,840.0,USN,2,United States,Minnesota,,44.528372238427,-92.3089091386517,,Minnesota,Minnesota,,MN
14122,121cd66e,2020-04-09,35319.0,1637.0,625.0,50.0,145.0,,63.0,5639632.0,3.0,3.0,2.0,4.0,0.0,2.0,1.0,3.0,2.0,1.0,1.0,76.85,USA,US,840.0,USN,2,United States,Minnesota,,44.528372238427,-92.3089091386517,,Minnesota,Minnesota,,MN
14123,121cd66e,2020-04-10,37078.0,1732.0,675.0,57.0,143.0,,64.0,5639632.0,3.0,3.0,2.0,4.0,0.0,2.0,1.0,3.0,2.0,1.0,1.0,76.85,USA,US,840.0,USN,2,United States,Minnesota,,44.528372238427,-92.3089091386517,,Minnesota,Minnesota,,MN
